product_id,name,date,unit,category_name,category_codes,monimi_meiosi,promo,supplier_name,supplier_code,merchant,price
2301,ΠΑΤΑΤΕΣ ΚΡΗΤΗΣ ΔΙΧΤΥ(ΚΙΛΟ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Πατάτες, Γλυκοπατάτες, Κολοκάσια, Γιαμ","[393, 396, 402]",False,False,Ν/Α,302.0,marketin,0.72
2301,ΠΑΤΑΤΕΣ ΚΡΗΤΗΣ ΔΙΧΤΥ(ΚΙΛΟ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Πατάτες, Γλυκοπατάτες, Κολοκάσια, Γιαμ","[393, 396, 402]",False,False,Ν/Α,302.0,synka,0.79
2302,ΠΑΤΑΤΕΣ ΦΟΥΡΝΟΥ ΔΙΧΤΥ ΕΛΛ(ΚΙΛΟ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Πατάτες, Γλυκοπατάτες, Κολοκάσια, Γιαμ","[393, 396, 402]",False,False,Ν/Α,302.0,xalkiadakis,0.88
2302,ΠΑΤΑΤΕΣ ΦΟΥΡΝΟΥ ΔΙΧΤΥ ΕΛΛ(ΚΙΛΟ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Πατάτες, Γλυκοπατάτες, Κολοκάσια, Γιαμ","[393, 396, 402]",False,False,Ν/Α,302.0,efresh,1.09
2302,ΠΑΤΑΤΕΣ ΦΟΥΡΝΟΥ ΔΙΧΤΥ ΕΛΛ(ΚΙΛΟ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Πατάτες, Γλυκοπατάτες, Κολοκάσια, Γιαμ","[393, 396, 402]",False,False,Ν/Α,302.0,synka,0.59
2304,ΠΑΤΑΤΕΣ ΚΥΠΡΟΥ ΣΥΣ/ΝΕΣ ΠΟΙΟΤ Α(ΤΙΜΗ ΚΙΛ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Πατάτες, Γλυκοπατάτες, Κολοκάσια, Γιαμ","[393, 396, 402]",False,False,Ν/Α,302.0,xalkiadakis,1.55
2304,ΠΑΤΑΤΕΣ ΚΥΠΡΟΥ ΣΥΣ/ΝΕΣ ΠΟΙΟΤ Α(ΤΙΜΗ ΚΙΛ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Πατάτες, Γλυκοπατάτες, Κολοκάσια, Γιαμ","[393, 396, 402]",False,False,Ν/Α,302.0,efresh,1.75
2304,ΠΑΤΑΤΕΣ ΚΥΠΡΟΥ ΣΥΣ/ΝΕΣ ΠΟΙΟΤ Α(ΤΙΜΗ ΚΙΛ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Πατάτες, Γλυκοπατάτες, Κολοκάσια, Γιαμ","[393, 396, 402]",False,False,Ν/Α,302.0,synka,1.87
2305,ΠΑΤΑΤΕΣ ΧΥΜΑ ΕΙΣ. ΠΟΙΟΤΗΤΑ Α' (ΤΙΜΗ ΚΙΛ. ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Πατάτες, Γλυκοπατάτες, Κολοκάσια, Γιαμ","[393, 396, 402]",False,False,Ν/Α,302.0,xalkiadakis,0.78
2305,ΠΑΤΑΤΕΣ ΧΥΜΑ ΕΙΣ. ΠΟΙΟΤΗΤΑ Α' (ΤΙΜΗ ΚΙΛ. ),27-06-2025,ανά κιλ,"Φρέσκα Φρούτα & Λαχανικά, Λαχανικά, Πατάτες, Γλυκοπατάτες, Κολοκάσια, Γιαμ","[393, 396, 402]",False,False,Ν/Α,302.0,synka,0.97
