CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,ΚΑΤΗΓΟΡΙΑ,PRICE
2,1040,Λεμόνια,2.91,2.99,1040.jpg,Φρούτα,Kg,,kritikos,02-06-2026,08-06-2026,,
3,1000,Μπανάνες,1.62,1.85,1000.jpg,Φρούτα,Kg,,kritikos,02-06-2026,08-06-2026,,
4,1042,Πορτοκάλια ,1.02,1.02,1042.jpg,Φρούτα,Kg,,kritikos,02-06-2026,08-06-2026,,
5,724145,Μανταρίνια  (Σε επιλεγμένα καταστήματα),1.05,1.25,724145.jpg,Φρούτα,Kg,,kritikos,02-06-2026,08-06-2026,,
6,1032,Αχλάδια,2.45,2.49,1032.jpg,Φρούτα,Kg,,kritikos,02-06-2026,08-06-2026,,
7,1159,Μήλα,2.29,2.29,1159.jpg,Φρούτα,Kg,,kritikos,02-06-2026,08-06-2026,,
7.1,1053,Μήλα Golden Delicious,2.15,2.15,1053.jpg,Φρούτα,Kg,,kritikos,02-06-2026,08-06-2026,,
7.2,1057,Μήλα Granny Smith ,1.97,1.99,1057.jpg,Φρούτα,Kg,,kritikos,02-06-2026,08-06-2026,,
7.3,1006,Μήλα Starkin Delicious,1.99,1.99,1006.jpg,Φρούτα,Kg,,kritikos,02-06-2026,08-06-2026,,
8,1082,Ρόδια,5.15,5.25,1082.jpg,Φρούτα,Kg,,kritikos,02-06-2026,08-06-2026,,
9,1476,Μανιτάρια,4.98,4.98,1476.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
10,1058,Αγκινάρες  (Σε επιλεγμένα καταστήματα),2.45,3.37,1058.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
11,1009,Τομάτες,1.49,1.49,1009.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
12,718070,Τοματίνια,3.98,3.98,718070.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
13,1004,Αγγούρια,1.03,1.20,1004.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
14,1025,Κολοκύθια,1.12,1.79,1025.jpg,Λαχανικά,kg,,kritikos,02-06-2026,08-06-2026,,
15,1002,Μαρούλια,1.02,0.96,1002.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
16,863566,Ρόκα,10.90,11.00,863566.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
17,1014,Πατάτες,0.89,0.89,1014.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
17.1,1848,Πατάτες Κύπρου,1.55,1.55,1848.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
17.2,705876,Πατάτες εγχώριες,1.89,1.89,705876.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
17.3 ,1849,Πατάτες εισαγωγής,1.78,1.78,1849.jpg,,,,kritikos,02-06-2026,08-06-2026,,
18,718769,Σκόρδα (κομμάτι),7.45,7.75,718769.jpg,Λαχανικά,τμχ.,,kritikos,02-06-2026,08-06-2026,,
19,1041,Κρεμμύδια ξερά,0.82,0.90,1041.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
20,1001,Κρεμμύδια φρέσκα,3.81,3.81,1001.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
21,1043,Σπανάκι,1.81,1.89,1043.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
22,1059,Παντζάρια,1.39,1.47,1059.jpg,Λαχανικά,Kg,,kritikos,02-06-2026,08-06-2026,,
