CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,PICE_MAX
19,2130005000000,ΚΡΕΜΜΥΔΙΑ ΣΕ ΔΙΧΤΥ,0.95,,19_Kremmidia_Aspra.jpg,Λαχανικά,Kg,,egnatia,24-06-2025,30-06-2025,0.95
20,2130036000000,ΚΡΕΜΜΥΔΑΚΙ ΦΡΕΣΚΟ,0.59,,20_Kremmidaki_Fresko_Temaxio.jpg,Λαχανικά,Kg,,egnatia,24-06-2025,30-06-2025,0.59
23,2130014000000,ΚΑΡΟΤΑ ΣΕ ΣΑΚΟΥΛΑΚΙ,0.92,,23_Karota.jpg,Λαχανικά,Kg,,egnatia,24-06-2025,30-06-2025,0.92
24,5200378100066,ΡΕΠΑΝΑΚΙΑ 125ΓΡ,0.89,,24_Rapanakia_250g.jpg,Λαχανικά,Kg,,egnatia,24-06-2025,30-06-2025,0.89
25,2130019000000,ΛΑΧΑΝΑ,0.75,,25_Lahano.jpg,Λαχανικά,Kg,,egnatia,24-06-2025,30-06-2025,0.75
28.1,2130024000000,ΠΙΠΕΡΙΕΣ ΓΕΜΙΣΤΕΣ,1.59,,28.1_Piperies_Xondres_Gia_Gemista.jpg,Λαχανικά,Kg,,egnatia,24-06-2025,30-06-2025,1.59
28.2,2130033000000,ΠΙΠΕΡΙΕΣ ΓΛΥΚΕΣ,1.89,,28.1_Piperies_Makries_Glikes.jpg,Λαχανικά,Kg,,egnatia,24-06-2025,30-06-2025,1.89
29,2130022000000,ΜΕΛΙΤΖΑΝΕΣ,1.65,,29_Melitzanes.jpg,Λαχανικά,Kg,,egnatia,24-06-2025,30-06-2025,1.65
30,2130016000000,ΜΑΙΝΔΑΝΟΣ,0.6,,30_Maindanos_Temaxio.jpg,Λαχανικά,Kg,,egnatia,24-06-2025,30-06-2025,0.6
31,2130017000000,ΑΝΙΘΟΣ,0.6,,31_Anithos_Temaxio.jpg,Λαχανικά,Kg,,egnatia,24-06-2025,30-06-2025,0.6
32,2130031000000,ΣΕΛΙΝΟ,2.49,,32_Selino.jpg,Λαχανικά,Kg,,egnatia,24-06-2025,30-06-2025,2.49
1,1045,Σταφύλια (Σε επιλεγμένα καταστήματα),4.55,4.99,1045.jpg,Φρούτα,Kg,,kritikos,24-06-2025,30-06-2025,
2,1040,Λεμόνια (Σε επιλεγμένα καταστήματα),2.59,2.79,1040.jpg,Φρούτα,Kg,,kritikos,24-06-2025,30-06-2025,
3,1000,Μπανάνες,1.50,2.29,1000.jpg,Φρούτα,Kg,,kritikos,24-06-2025,30-06-2025,
4,1042,Πορτοκάλια ,0.99,1.29,1042.jpg,Φρούτα,Kg,,kritikos,24-06-2025,30-06-2025,
6,1032,Αχλάδια,2.50,2.99,1032.jpg,Φρούτα,Kg,,kritikos,24-06-2025,30-06-2025,
7,1006,Μήλα,1.88,1.99,1006.jpg,Φρούτα,Kg,,kritikos,24-06-2025,30-06-2025,
7.2,1057,Μήλα Granny Smith (Σε επιλεγμένα καταστήματα),1.82,1.99,1057.jpg,Φρούτα,Kg,,kritikos,24-06-2025,30-06-2025,
8,1082,Ρόδια (Σε επιλεγμένα καταστήματα),6.22,6.59,1082.jpg,Φρούτα,Kg,,kritikos,24-06-2025,30-06-2025,
9,1476,Μανιτάρια (Σε επιλεγμένα καταστήματα),4.96,5.98,1476.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
11,1009,Τομάτες,1.79,1.98,1009.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
12,718070,Τοματίνια (Σε επιλεγμένα καταστήματα),5.38,5.86,718070.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
13,1004,Αγγούρια,0.77,1.20,1004.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
14,1025,Κολοκύθια,1.15,1.59,1025.jpg,Λαχανικά,kg,,kritikos,24-06-2025,30-06-2025,
15,1002,Μαρούλια (Σε επιλεγμένα καταστήματα),1.13,1.48,1002.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
16,863566,Ρόκα (Σε επιλεγμένα καταστήματα),10.90,13.60,863566.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
17,1014,Πατάτες (Σε επιλεγμένα καταστήματα),0.71,0.99,1014.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
17.1,1848,Πατάτες Κύπρου (Σε επιλεγμένα καταστήματα),1.55,1.99,1848.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
17.3 ,1849,Πατάτες εισαγωγής (Σε επιλεγμένα καταστήματα),1.99,2.49,1849.jpg,,,,kritikos,24-06-2025,30-06-2025,
18,718769,Σκόρδα (κομμάτι) (Σε επιλεγμένα καταστήματα),7.50,7.50,718769.jpg,Λαχανικά,τμχ.,,kritikos,24-06-2025,30-06-2025,
19,1041,Κρεμμύδια ξερά (Σε επιλεγμένα καταστήματα),0.69,1.29,1041.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
20,1001,Κρεμμύδια φρέσκα,3.31,3.54,1001.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
21,1043,Σπανάκι (Σε επιλεγμένα καταστήματα),1.83,2.29,1043.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
22,1059,Παντζάρια (Σε επιλεγμένα καταστήματα),1.30,1.69,1059.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
23,702639,Καρότα,1.12,1.98,702639.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
25,1019,Λάχανα,0.69,0.99,1019.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
26,1036,Κουνουπίδια (Σε επιλεγμένα καταστήματα),2.05,2.39,1036.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
27,1052,Μπρόκολο (Σε επιλεγμένα καταστήματα),2.85,3.25,1052.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
28,1008,Πιπεριές (Σε επιλεγμένα καταστήματα),2.99,3.03,1008.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
28.1,1325,Πιπεριές χονδρές (Σε επιλεγμένα καταστήματα),1.79,1.99,1325.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
28.2,1131,Πιπεριές μακριές (Σε επιλεγμένα καταστήματα),2.18,2.99,1131.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
29,1027,Μελιτζάνες,1.38,1.99,1027.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
30,1030,Μαϊντανός,2.80,3.52,1030.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
31,1024,’νηθος,5.21,7.47,1024.jpg,Λαχανικά,Kg,,kritikos,24-06-2025,30-06-2025,
