CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,null,2,80160,Λεμόνια,1.25,1.32,Lemoni.png
15,1002,Μαρούλια (Σε επιλεγμένα καταστήματα),1.08,1.48,1002.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
16,863566,Ρόκα (Σε επιλεγμένα καταστήματα),10.90,13.60,863566.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
17,1014,Πατάτες (Σε επιλεγμένα καταστήματα),1.03,1.19,1014.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
17.1,1848,Πατάτες Κύπρου (Σε επιλεγμένα καταστήματα),1.85,2.29,1848.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
17.3 ,1849,Πατάτες εισαγωγής (Σε επιλεγμένα καταστήματα),1.99,2.49,1849.jpg,,,,kritikos,06-05-2025,12-05-2025,,,,,,,
18,718769,Σκόρδα (κομμάτι) (Σε επιλεγμένα καταστήματα),7.50,7.50,718769.jpg,Λαχανικά,τμχ.,,kritikos,06-05-2025,12-05-2025,,,,,,,
19,774036,Κρεμμύδια ξερά (Σε επιλεγμένα καταστήματα),0.99,1.29,774036.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
20,1001,Κρεμμύδια φρέσκα,2.82,3.54,1001.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
21,1043,Σπανάκι (Σε επιλεγμένα καταστήματα),1.81,2.29,1043.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
22,1059,Παντζάρια (Σε επιλεγμένα καταστήματα),1.23,1.69,1059.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
23,702639,Καρότα,1.12,1.98,702639.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
25,1019,Λάχανα,0.77,1.09,1019.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
26,1036,Κουνουπίδια (Σε επιλεγμένα καταστήματα),1.50,2.39,1036.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
27,1052,Μπρόκολο (Σε επιλεγμένα καταστήματα),3.40,3.99,1052.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
28,1008,Πιπεριές (Σε επιλεγμένα καταστήματα),2.13,3.99,1008.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
28.1,1325,Πιπεριές χονδρές (Σε επιλεγμένα καταστήματα),2.07,3.49,1325.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
28.2,1131,Πιπεριές μακριές (Σε επιλεγμένα καταστήματα),2.49,4.19,1131.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
29,1027,Μελιτζάνες (Σε επιλεγμένα καταστήματα),1.41,2.09,1027.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
30,1030,Μαϊντανός,2.95,3.52,1030.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
31,1024,’νηθος,5.46,7.47,1024.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
32,1023,Σέλινο,2.48,2.80,1023.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
33,1033,Φασολάκια  (Σε επιλεγμένα καταστήματα),4.57,8.35,1033.jpg,Λαχανικά,Kg,,kritikos,06-05-2025,12-05-2025,,,,,,,
,,,,,,,,,lidl,06-05-2025,12-05-2025,,3,80000,Μπανάνες,1.26,1.26,Banana.png
,,,,,,,,,lidl,06-05-2025,12-05-2025,,4,80141,Πορτοκάλια,0.70,1.54,Portokali-dixty.png
,,,,,,,,,lidl,06-05-2025,12-05-2025,,5,80088,Μανταρίνια,3.15,3.15,Mantarini-dixty.png
,,,,,,,,,lidl,06-05-2025,12-05-2025,,6,80281,Αχλάδια,1.55,3.79,Axladia-krystalia.png
,,,,,,,,,lidl,06-05-2025,12-05-2025,,7.1,80185,Μήλα Golden Delicious,1.85,1.85,Milo-gold.png
,,,,,,,,,lidl,06-05-2025,12-05-2025,,7.2,80190,Μήλα Granny Smith ,1.15,1.59,Milo-grannysmith-dixty.png
,,,,,,,,,lidl,06-05-2025,12-05-2025,,7.3,80228,Μήλα Starkin Delicious,1.15,2.19,Milo-starkin.png
,,,,,,,,,lidl,06-05-2025,12-05-2025,,9,83018,Μανιτάρια,3.65,6.13,Manitari-leyko.png
,,,,,,,,,lidl,06-05-2025,12-05-2025,,11,82415,Τομάτες,1.45,2.99,Tomata-beef.png
,,,,,,,,,lidl,06-05-2025,12-05-2025,,12,82411,Τοματίνια,3.45,6.76,tomatini-kouvadaki.png
,,,,,,,,,lidl,06-05-2025,12-05-2025,,13,82231,Αγγούρια,1.33,3.75,Aggouri.png
