CATEGORY,BARCODE,NAME,PRICE_MIN,PRICE_MAX,IMAGE,CATEGORY_NAME,UNIT,DISPLAY,retailer,from,to,null
5,2130053000000,ΜΑΝΤΑΡΙΝΙΑ,1,59,1,Φρούτα,Kg,,egnatia,01-04-2025,07-04-2025,"['59', '5_Klimentines_Kalathi.jpg']"
6,2130025000000,ΑΧΛΑΔΙΑ,1,19,1,Φρούτα,Kg,,egnatia,01-04-2025,07-04-2025,"['89', '6_Achladia_Kristalia.jpg']"
7.1,2130052000000,ΜΗΛΑ ΓΚΟΛΝΤΕΝ,1,79,1,Φρούτα,Kg,,egnatia,01-04-2025,07-04-2025,"['79', '7.1_Mila_Golden.jpg']"
7.2,2130009000000,ΜΗΛΑ ΠΡΑΣΙΝΑ,1,79,1,Φρούτα,Kg,,egnatia,01-04-2025,07-04-2025,"['79', '7.2_Mila_Granny_Smith.jpg']"
7.3,2130006000000,ΜΗΛΑ ΣΤΑΡΚΙΝ,1,79,1,Φρούτα,Kg,,egnatia,01-04-2025,07-04-2025,"['79', '7.3_Mila_Starkin_Kokkina.jpg']"
9,5200120110015,ΜΑΝΙΤΑΡΙΑ 500ΓΡ,2,39,2,Λαχανικά,Kg,,egnatia,01-04-2025,07-04-2025,"['39', '9_Manitaria_Leuka_sisk_500g.jpg']"
11,2130010000000,ΤΟΜΑΤΕΣ,1,49,1,Λαχανικά,Kg,,egnatia,01-04-2025,07-04-2025,"['49', '11_Tomates.jpg']"
12,5200107690028,ΤΟΜΑΤΙΝΙΑ ΣΥΣΚ. 250ΓΡ,1,69,1,Λαχανικά,Kg,,egnatia,01-04-2025,07-04-2025,"['69', '12_Tomatinia_250g.jpg']"
13,2130028000000,ΑΓΓΟΥΡΙΑ,0,53,0,Λαχανικά,Kg,,egnatia,01-04-2025,07-04-2025,"['53', '13_Aggouria.jpg']"
14,2130040000000,ΚΟΛΟΚΥΘΙΑ,2,79,2,Λαχανικά,kg,,egnatia,01-04-2025,07-04-2025,"['79', '14_Kolokithia.jpg']"
15,2130037000000,ΜΑΡΟΥΛΙ ΣΓΟΥΡΟ ΤΕΜΑΧΙΟ,0,69,0,Λαχανικά,Kg,,egnatia,01-04-2025,07-04-2025,"['69', '15_Sgouro_Marouli_Temaxio.jpg']"
17.3,2130153000000,ΠΑΤΑΤΕΣ ΕΙΣΑΓΩΜΕΝΕΣ ΣΕ ΔΙΧΤΥ,0,99,0,Λαχανικά,Kg,,egnatia,01-04-2025,07-04-2025,"['99', '17.2_Patates_Egxories.jpg']"
18,3838900274224,ΣΚΟΡΔΑ ΣΕ ΔΙΧΤΥ 3ΤΕΜ,1,39,1,Λαχανικά,τμχ.,,egnatia,01-04-2025,07-04-2025,"['39', '18_Skorda_3temaxia.jpg']"
19,2130005000000,ΚΡΕΜΜΥΔΙΑ ΣΕ ΔΙΧΤΥ,0,79,0,Λαχανικά,Kg,,egnatia,01-04-2025,07-04-2025,"['79', '19_Kremmidia_Aspra.jpg']"
20,2130036000000,ΚΡΕΜΜΥΔΑΚΙ ΦΡΕΣΚΟ,0,76,0,Λαχανικά,Kg,,egnatia,01-04-2025,07-04-2025,"['76', '20_Kremmidaki_Fresko_Temaxio.jpg']"
23,2130014000000,ΚΑΡΟΤΑ ΣΕ ΣΑΚΟΥΛΑΚΙ,0,92,0,Λαχανικά,Kg,,egnatia,01-04-2025,07-04-2025,"['92', '23_Karota.jpg']"
24,5200378100066,ΡΕΠΑΝΑΚΙΑ 125ΓΡ,0,89,0,Λαχανικά,Kg,,egnatia,01-04-2025,07-04-2025,"['89', '24_Rapanakia_250g.jpg']"
25,2130019000000,ΛΑΧΑΝΑ,0,59,0,Λαχανικά,Kg,,egnatia,01-04-2025,07-04-2025,"['59', '25_Lahano.jpg']"
26,2130023000000,ΚΟΥΝΟΥΠΙΔΙΑ,1,19,1,Λαχανικά,Kg,,egnatia,01-04-2025,07-04-2025,"['19', '26_Kounoypidia.jpg']"
27,2130032000000,ΜΠΡΟΚΟΛΟ,1,69,1,Λαχανικά,Kg,,egnatia,01-04-2025,07-04-2025,"['69', '27_Mprokola.jpg']"
28.1,2130024000000,ΠΙΠΕΡΙΕΣ ΓΕΜΙΣΤΕΣ,3,99,3,Λαχανικά,Kg,,egnatia,01-04-2025,07-04-2025,"['99', '28.1_Piperies_Xondres_Gia_Gemista.jpg']"
28.2,2130033000000,ΠΙΠΕΡΙΕΣ ΓΛΥΚΕΣ,3,69,3,Λαχανικά,Kg,,egnatia,01-04-2025,07-04-2025,"['69', '28.1_Piperies_Makries_Glikes.jpg']"
29,2130022000000,ΜΕΛΙΤΖΑΝΕΣ,2,69,2,Λαχανικά,Kg,,egnatia,01-04-2025,07-04-2025,"['69', '29_Melitzanes.jpg']"
30,2130016000000,ΜΑΙΝΔΑΝΟΣ,0,49,0,Λαχανικά,Kg,,egnatia,01-04-2025,07-04-2025,"['49', '30_Maindanos_Temaxio.jpg']"
31,2130017000000,ΑΝΙΘΟΣ,0,69,0,Λαχανικά,Kg,,egnatia,01-04-2025,07-04-2025,"['69', '31_Anithos_Temaxio.jpg']"
32,2130031000000,ΣΕΛΙΝΟ,1,99,1,Λαχανικά,Kg,,egnatia,01-04-2025,07-04-2025,"['99', '32_Selino.jpg']"
1,1045,Σταφύλια (σε επιλεγμένα καταστήματα),4.45,4.45,1045.jpg,Φρούτα,Kg,,kritikos,01-04-2025,07-04-2025,
2,1140,Λεμόνια,1.23,1.25,1140.jpg,Φρούτα,Kg,,kritikos,01-04-2025,07-04-2025,
3,1000,Μπανάνες,1.50,1.85,1000.jpg,Φρούτα,Kg,,kritikos,01-04-2025,07-04-2025,
4,1005,Πορτοκάλια ,0.62,0.78,1005.jpg,Φρούτα,Kg,,kritikos,01-04-2025,07-04-2025,
6,1032,Αχλάδια,1.65,1.99,1032.jpg,Φρούτα,Kg,,kritikos,01-04-2025,07-04-2025,
7,1006,Μήλα,1.55,1.65,1006.jpg,Φρούτα,Kg,,kritikos,01-04-2025,07-04-2025,
7.1,1053,Μήλα Golden Delicious (σε επιλεγμένα καταστήματα),1.89,1.89,1053.jpg,Φρούτα,Kg,,kritikos,01-04-2025,07-04-2025,
7.2,1057,Μήλα Granny Smith ,1.59,1.65,1057.jpg,Φρούτα,Kg,,kritikos,01-04-2025,07-04-2025,
8,1082,Ρόδια,5.77,6.99,1082.jpg,Φρούτα,Kg,,kritikos,01-04-2025,07-04-2025,
9,555428,Μανιτάρια (σε επιλεγμένα καταστήματα),6.62,6.62,555428.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
10,1058,Αγκινάρες  (σε επιλεγμένα καταστήματα),2.32,2.32,1058.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
11,1009,Τομάτες,1.64,1.75,1009.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
12,718070,Τοματίνια,4.78,4.78,718070.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
13,1004,Αγγούρια,1.46,1.40,1004.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
14,1025,Κολοκύθια,1.70,2.35,1025.jpg,Λαχανικά,kg,,kritikos,01-04-2025,07-04-2025,
15,1002,Μαρούλια (σε επιλεγμένα καταστήματα),1.06,1.00,1002.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
16,863566,Ρόκα (σε επιλεγμένα καταστήματα),10.90,10.90,863566.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
17,1014,Πατάτες,0.89,0.89,1014.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
17.1,1848,Πατάτες Κύπρου (σε επιλεγμένα καταστήματα),1.89,1.89,1848.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
17.3 ,1849,Πατάτες εισαγωγής (σε επιλεγμένα καταστήματα),1.99,2.09,1849.jpg,,,,kritikos,01-04-2025,07-04-2025,
18,718769,Σκόρδα (κομμάτι) (σε επιλεγμένα καταστήματα),7.50,7.50,718769.jpg,Λαχανικά,τμχ.,,kritikos,01-04-2025,07-04-2025,
19,1041,Κρεμμύδια ξερά  (σε επιλεγμένα καταστήματα),0.78,0.85,1041.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
20,1001,Κρεμμύδια φρέσκα,3.13,3.13,1001.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
21,1043,Σπανάκι (σε επιλεγμένα καταστήματα),1.81,2.10,1043.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
22,1059,Παντζάρια (σε επιλεγμένα καταστήματα),1.16,1.30,1059.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
23,702639,Καρότα,1.12,1.12,702639.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
25,1019,Λάχανα,0.69,0.69,1019.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
26,1036,Κουνουπίδια (σε επιλεγμένα καταστήματα),1.34,1.48,1036.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
27,1052,Μπρόκολο (σε επιλεγμένα καταστήματα) ,2.48,2.58,1052.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
28,1008,Πιπεριές (σε επιλεγμένα καταστήματα),3.99,3.99,1008.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
28.1,1325,Πιπεριές χονδρές (σε επιλεγμένα καταστήματα),4.07,4.19,1325.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
28.2,1131,Πιπεριές μακριές (σε επιλεγμένα καταστήματα),4.10,4.19,1131.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
29,1027,Μελιτζάνες,1.98,2.49,1027.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
30,1030,Μαϊντανός,2.80,2.80,1030.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
31,1024,’νηθος,5.46,5.46,1024.jpg,Λαχανικά,Kg,,kritikos,01-04-2025,07-04-2025,
